source_file,source_path,domain,file_kind,target_module,target_record_type,target_schema,target_table,current_stage,status,row_count,column_count,notes
contacts_db.csv,sheets/contacts/contacts_db.csv,unknown,csv,unknown,record,qisystem,records,raw,needs_profile,6640,18,Raw ingestion target
contacts_insights_db.csv,sheets/contacts/contacts_insights_db.csv,unknown,csv,unknown,record,qisystem,records,raw,needs_profile,161,26,Raw ingestion target
coa_db.csv,sheets/financial/coa_db.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,104,8,Raw ingestion target
coa_schc_db.csv,sheets/financial/coa_schc_db.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,114,8,Raw ingestion target
financial_billpay_db.csv,sheets/financial/financial_billpay_db.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,5,6,Raw ingestion target
financial_cashapp_converted_sample_format.csv,sheets/financial/financial_cashapp_converted_sample_format.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,1051,6,Raw ingestion target
financial_cashapp_db.csv,sheets/financial/financial_cashapp_db.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,416,15,Raw ingestion target
financial_Chart_of_Accounts.csv,sheets/financial/financial_Chart_of_Accounts.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,181,11,Raw ingestion target
financial_chart_of_accounts_clean.csv,sheets/financial/financial_chart_of_accounts_clean.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,93,4,Raw ingestion target
financial_Email Templates for Client Portal.csv,sheets/financial/financial_Email Templates for Client Portal.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,123,6,Raw ingestion target
financial_iisiTax Service Agreement Template.csv,sheets/financial/financial_iisiTax Service Agreement Template.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,1063,10,Raw ingestion target
financial_Internal COA (OS).csv,sheets/financial/financial_Internal COA (OS).csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,238,19,Raw ingestion target
financial_Invoices_001.csv,sheets/financial/financial_Invoices_001.csv,financial,csv,finance,record,qisystem,records,raw,needs_profile,32,61,Raw ingestion target
