CHARGE NAME,FELONY,MISD,CITATION,Condition," Condition Met?"," 2"," 3",BGCK Conditions,Review Status
"Crimes against minors (endangerment,,,,,,etc.)",,No,
No Plea - The defendant does not submit a statement of Not Guilty.,,,,,No,,,,Not started
"Computer/Electronics/Data (hacking,,No,phishing)",,unauthorized access,identity theft,skimming,illegal use/possession of electronic devices,
"Drugs (sell/manufacture/distribution,,,No,,,deliver,dispense without prescription)",,
Attempt/Conspiracy with Description of Crime - Adjudicate based on nature of crime,,,,,No,Depends on convictions,,,Not started
"Disorderly Conduct (without violence or weapons,X - 2 within the last 7 years,,,,,unspecified)",,No,
Attempt/Conspiracy without Description of Crime,,,,,No,Depends on convictions,,,Not started
Animals (hunting without proper permit),,,,X,No,,,,Not started
Guilty - A judge or jury finds that the evidence proves beyond a reasonable doubt that the defendant committed the offense or the defendant pleads and is found guilty.,,,,,No," "," ",,Not started
"Alcohol (DUI - 3rd offense,,,No,,,blood alcohol level over .10% with injury/death/property damage,manufacture alcohol)",,
"Disorderly Conduct (violence including fighting,,,,,,weapons)",,No,
No Contest/ Nolo Contendere - A statement that the defendant will not contest a charge.,,,,,No,,,,Not started
"Animals (animal fights," ",,,,,animal abuse/cruelty)",,No,
"Felony Level Convictions ",,,,,No,,,,Not started
"Interference/Evade/Obstruction (aid/abet,failure to identify,false report,conceal/destroy/tamper evidence,bail jumping,misprison of a felony,elude/escape,coercion,harbor,perjury)"
"Drugs (possession,,,,No,paraphernalia) ",use,maintaining a drug house,,
"Property Damage (vandalism,,,No,,,malicious destruction/mischief,arson)",,
"Harassment/Threats (stalking,,,,No,intimidation)",criminal/terroristic threats,unwanted communication,,
"Prostitution (soliciting,,X - 2 within the last 7 years,No,,,solicitation,pandering)",,
Kidnapping (illegally transporting a minor),,,,,No,,,,Not started
Non Support of Dependent,,,,X - 2 within the last 7 years,No,,,,Not started
"Failures/Contempt - excluding failure to identify (ex-felon fail to change address,,,,No,disobey a court order-unspecified)",failure to appear/pay,failure to file/pay taxes,,X - 2 within the last 7 years
Persistent Offender Enhancement,,,,,No,,,,Not started
Kidnapping (false/unlawful imprisonment),,,,,No,,,,Not started
"Misconduct in a Public Office ",,,,X - 2 within the last 7 years,No,,,,Not started
"Neglect/Cruelty/Endangerment/Abuse/Recklessness (non-traffic reckless/wanton endangerment,,,,,,child/elder/dependent adult abuse/neglect)",,No,
Failure to Register as a Sex Offender (failure to notify registry of address/name change),,,,,No,,,,Not started
Licensing - excluding traffic (fail to maintain license/registration),,,,X - 2 within the last 7 years,No,,,,Not started
Promoting Contraband,,,,,No,,,,Not started
Flagrant Non-support,,,,X - 1 case over 3 years old,No,,,,Not started
"Gaming (accept a wager,,No,tampering)",X,rigging,gambling,keeping a gambling house,mob action,
Protection Order (violating a protection/restraining/stay away/no contact order),,,,X - 2 within the last 7 years,No,,,,Not started
"Traffic (habitual offender,X - 2 within the last 7 years,,,,,driving while suspended)",,No,
Pending / Active - a case that is still in process in the courts without a disposition.,,,,,No,X - if meets or needs review as a conviction (EE will have 30 days to rectify warrant or will be deactivated),X - if DNM as a conviction,,Not started
"Theft/Fraud (larceny,possession of stolen property,burglary,counterfeiting,robbery,theft by deception,welfare/unemployment fraud,credit card/check fraud,worthless  checks,embezzlement
Unlawful Transaction with a Minor,,,,X - 2 within the last 7 years,No,,,,Not started
"Trespassing (criminal trespass/access/entry,X - 2 within the last 7 years,,,,,unspecified)",,No,
"Traffic (hit and run with injury or death,,,,No,repeat offender)",vehicular assault/manslaughter/homicide,reckless/wanton endangerment,,
Weapons (failure to register firearm),,,,X - 2 within the last 7 years,No,,,,Not started
"Violence (assault,violence against a child,criminal confinement)",murder,domestic violence,offensive touching,battery,bodily injury,attempted murder,
"Weapons (explosives,,,,No,conceal)",make/possess bombs,illegal transport/sell/alter/discharge/possession firearm/weapon,," "
"Trespassing (burglary,,,No,,,use of a facility for illegal purposes,breaking and entering)",,
Resisting Arrest,,,,X,No,,,,Not started
Uttering a Forged Instrument,,,,,No,,,,Not started
"Sex Crimes (rape,illegal pornography,sexual coercion,sexually explicit conduct,corruption of a minor,unlawful sex with a minor,statutory rape,sexual battery/assault,child pornography,sex abuse
Felony level non-convictions and deferrals/diversions are adjudicated as noted immediately below:,,,,,No,,,,Not started
OPEN DISPOSITIONS,,,,,No,,,,Not started
"Public Disturbance (dealing in hazardous waste,,X - 2 within the last 7 years,No,,,rioting/demonstrating,causing a panic)",,
Warrant / Capias - a case with an active warrant.,,,,,No,X - if meets or needs review as a conviction (EE will have 30 days to rectify warrant or will be deactivated),X - if DNM as a conviction,,Not started
Deferred Prosecution - Postponing prosecution; this does not mean to omit or dismiss.,,,," X - if meets requirements as a conviction",No,X- if needs review as a conviction or state is not listed as a deferral state,,,Not started
"Accelerated Rehabilitation Disposition Program (ARD) - (PA) Postponing a judgment based on the defendant completing court assignments for rehabilitation.  First offender program; If program fees & fines are completed,X,,,,,case/charge MAY be dismissed.",,No,
Withdrawn - The state's attorney or judge withdraws charges against a defendant.,DO NOT REPORT,DO NOT REPORT,DO NOT REPORT,,No,,,,Not started
Acquitted - A judge or jury finds that the evidence proves that the defendant did not commit the crime.,DO NOT REPORT,DO NOT REPORT,DO NOT REPORT,,No,,,,Not started
"Conditional Discharge - A sentence passed by a court whereby the defendant is not punished," X - if meets requirements as a conviction",,,,,provided they comply with certain conditions.","X- if needs review as a conviction or state is not listed as a deferral state ",No,
"Diversion Granted  - Pre-trial intervention,," X - if meets requirements as a conviction",No,,X- if needs review as a conviction or state is not listed as a deferral state,first-time or petty criminal offenders are not subjected to the regular judicial process,usually placed on probation for no more than 1 yr.  Not an admission of guilt or a conviction ",,
